Wilayah Jawa Barat,Bulan_Tahun,Tahun,Kelompok Pengeluaran IHK,IHK Value
Kota Sukabumi,September-2020,2020,"Informasi, Komunikasi & Jasa Keuangan",99.89
Kota Sukabumi,September-2020,2020,"Rekreasi, Olahraga & Budaya",102.95
Kota Sukabumi,September-2020,2020,Pendidikan,110.9
Kota Sukabumi,September-2020,2020,Penyediaan Makanan & Minuman - Restoran,106.71
Kota Sukabumi,September-2020,2020,Perawatan Pribadi & Jasa Lainnya,112.76
Kota Sukabumi,August-2020,2020,Umum,104.73
Kota Sukabumi,August-2020,2020,"Makanan, Minuman & Tembakau",102.94
Kota Sukabumi,August-2020,2020,Pakaian & Alas Kaki,112.06
Kota Sukabumi,August-2020,2020,"Perumahan, Air, Listrik & Bahan Bakar Rumah Tangga",103.96
Kota Sukabumi,August-2020,2020,"Perlengkapan, Peralatan & Pemeliharaan Rutin Rumah Tangga",102.94
Kota Sukabumi,August-2020,2020,Kesehatan,103.35
Kota Sukabumi,August-2020,2020,Transportasi,104.12
Kota Sukabumi,August-2020,2020,"Informasi, Komunikasi & Jasa Keuangan",99.99
Kota Sukabumi,August-2020,2020,"Rekreasi, Olahraga & Budaya",102.95
Kota Sukabumi,August-2020,2020,Pendidikan,110.9
Kota Sukabumi,August-2020,2020,Penyediaan Makanan & Minuman - Restoran,106.61
Kota Sukabumi,August-2020,2020,Perawatan Pribadi & Jasa Lainnya,112.34
Kota Sukabumi,July-2020,2020,Umum,104.96
Kota Sukabumi,July-2020,2020,"Makanan, Minuman & Tembakau",104.28
Kota Sukabumi,July-2020,2020,Pakaian & Alas Kaki,111.98
Kota Sukabumi,July-2020,2020,"Perumahan, Air, Listrik & Bahan Bakar Rumah Tangga",103.96
Kota Sukabumi,July-2020,2020,"Perlengkapan, Peralatan & Pemeliharaan Rutin Rumah Tangga",102.8
Kota Sukabumi,July-2020,2020,Kesehatan,103.34
Kota Sukabumi,July-2020,2020,Transportasi,103.82
Kota Sukabumi,July-2020,2020,"Informasi, Komunikasi & Jasa Keuangan",99.97
