Wilayah Jawa Barat,Bulan_Tahun,Tahun,Kelompok Pengeluaran IHK,IHK Value
Kota Bogor,April-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",125.02
Kota Bogor,April-2017,2017,Sandang,108.55
Kota Bogor,April-2017,2017,Kesehatan,124.66
Kota Bogor,April-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",122.68
Kota Bogor,April-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",137.71
Kota Bogor,March-2017,2017,Umum,128.32
Kota Bogor,March-2017,2017,Bahan Makanan,137.67
Kota Bogor,March-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",124.95
Kota Bogor,March-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",124.25
Kota Bogor,March-2017,2017,Sandang,108.63
Kota Bogor,March-2017,2017,Kesehatan,124.68
Kota Bogor,March-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",122.54
Kota Bogor,March-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",137.58
Kota Bogor,February-2017,2017,Umum,128.2
Kota Bogor,February-2017,2017,Bahan Makanan,138.48
Kota Bogor,February-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",124.94
Kota Bogor,February-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",123.71
Kota Bogor,February-2017,2017,Sandang,108.08
Kota Bogor,February-2017,2017,Kesehatan,123.79
Kota Bogor,February-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",121.79
Kota Bogor,February-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",137.55
Kota Bogor,January-2017,2017,Umum,127.76
Kota Bogor,January-2017,2017,Bahan Makanan,138.39
Kota Bogor,January-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",124.4
Kota Bogor,January-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",123.32
Kota Bogor,January-2017,2017,Sandang,108.57
Kota Bogor,January-2017,2017,Kesehatan,122.43
Kota Bogor,January-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",121.1
Kota Bogor,January-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",136.7
Kota Sukabumi,December-2017,2017,Umum,130.22
Kota Sukabumi,December-2017,2017,Bahan Makanan,136.65
Kota Sukabumi,December-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",140.7
Kota Sukabumi,December-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",123.9
Kota Sukabumi,December-2017,2017,Sandang,108.14
Kota Sukabumi,December-2017,2017,Kesehatan,122.69
Kota Sukabumi,December-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",116.38
Kota Sukabumi,December-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",131.88
Kota Sukabumi,November-2017,2017,Umum,129.47
Kota Sukabumi,November-2017,2017,Bahan Makanan,133.88
Kota Sukabumi,November-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",140.06
Kota Sukabumi,November-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",123.83
Kota Sukabumi,November-2017,2017,Sandang,107.97
Kota Sukabumi,November-2017,2017,Kesehatan,122.6
Kota Sukabumi,November-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",116.48
Kota Sukabumi,November-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",132.33
Kota Sukabumi,October-2017,2017,Umum,129.23
Kota Sukabumi,October-2017,2017,Bahan Makanan,133.86
Kota Sukabumi,October-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",139.55
Kota Sukabumi,October-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",123.73
Kota Sukabumi,October-2017,2017,Sandang,107.74
Kota Sukabumi,October-2017,2017,Kesehatan,122.25
Kota Sukabumi,October-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",115.48
Kota Sukabumi,October-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",132.29
Kota Sukabumi,September-2017,2017,Umum,129.13
Kota Sukabumi,September-2017,2017,Bahan Makanan,134.33
Kota Sukabumi,September-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",139.08
